sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
vbT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT11_S27_L001_R1_001.fastq.gz	forward	vbT11	its28	bT	healthy	NNet	MMax	vidalblanc	1	1	9/10/2022	6/14/2023	N704	S505	GP22_GSR	1	517.6	517.6	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT11_S3_L001_R1_001.fastq.gz	forward	vBT11	its25	BT	healthy	Net	MMax	vidalblanc	1	1	9/10/2022	6/14/2023	N701	S505	GP22_GSR	1	588.2	588.2	3.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt11_S51_L001_R1_001.fastq.gz	forward	vBt11	its31	Bt	healthy	Net	NMax	vidalblanc	1	1	9/10/2022	6/14/2023	N707	S505	GP22_GSR	1	444.6	444.6	4.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt11	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt11_S75_L001_R1_001.fastq.gz	forward	vbt11	its34	bt	healthy	NNet	NMax	vidalblanc	1	1	9/10/2022	6/14/2023	N712	S505	GP22_GSR	1	443.6	443.6	4.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT12_S11_L001_R1_001.fastq.gz	forward	vBT12	its26	BT	healthy	Net	MMax	vidalblanc	1	2	9/10/2022	6/14/2023	N702	S505	GP22_GSR	1	574.9	574.9	3.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT12_S35_L001_R1_001.fastq.gz	forward	vbT12	its29	bT	healthy	NNet	MMax	vidalblanc	1	2	9/10/2022	6/14/2023	N705	S505	GP22_GSR	1	453.1	453.1	4.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt12_S59_L001_R1_001.fastq.gz	forward	vBt12	its32	Bt	healthy	Net	NMax	vidalblanc	1	2	9/10/2022	6/14/2023	N710	S505	GP22_GSR	1	439.5	439.5	4.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt12	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt12_S83_L001_R1_001.fastq.gz	forward	vbt12	its35	bt	healthy	NNet	NMax	vidalblanc	1	2	9/10/2022	6/14/2023	N714	S505	GP22_GSR	1	513.5	513.5	4.1	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT13_S19_L001_R1_001.fastq.gz	forward	vBT13	its27	BT	healthy	Net	MMax	vidalblanc	1	3	9/10/2022	6/14/2023	N703	S505	GP22_GSR	1	571.4	571.4	3.7	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT13	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT13_S43_L001_R1_001.fastq.gz	forward	vbT13	its30	bT	healthy	NNet	MMax	vidalblanc	1	3	9/10/2022	6/14/2023	N706	S505	GP22_GSR	1	486.9	486.9	4.3	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
