# Constructed from biom file
#OTU ID	gsr01	gsr07	gsr09	mbT33	vBT32	mbt33	mbT31	gsr16	gsr04	gsr08	vbT33	mbT32	vbt31	gsr17	vbT31	vBt33	gsr11	gsr06	gsr03	cBT31	gsr10	vbt33	gsr14	vbt32	gsr12	vBt31	gsr13	vbT32	ctrl	gsr15	mbt31	gsr05	gsr02	mbt32	cbt33
d05e153c68e7488239c09679e8091519	5.0	0.0	0.0	3.0	0.0	3.0	0.0	5.0	43.0	139.0	0.0	0.0	0.0	18.0	33.0	0.0	1.0	54.0	0.0	0.0	18.0	0.0	2.0	0.0	0.0	0.0	17.0	0.0	0.0	4.0	0.0	0.0	109.0	54.0	0.0
baf8b66466b635eeffb8ddc1746b4b6b	5.0	55.0	4.0	117.0	0.0	60.0	0.0	0.0	86.0	14.0	9.0	64.0	151.0	211.0	104.0	77.0	0.0	38.0	70.0	34.0	0.0	0.0	127.0	0.0	39.0	92.0	230.0	0.0	0.0	2.0	35.0	84.0	1.0	0.0	0.0
2b9690f364c0045a1985d5abafa011e5	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
eb964a5131f2797b0f0ad8c939e2603d	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0
1a5048df31359424674bfe4be01d2761	5.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	21.0	14.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0
5fbacba9e6d368ece105df8d311cc09a	5.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0
24af4374b25ddee74b6607d4f355bdca	5.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	4.0	0.0
0e55e37a7383d13489881ddd735ac8e6	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0	0.0
98c994ff220dc2d71d3b30973358b0c2	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	5.0	0.0
23a85ec8cb83a843a490eeef6aa302ab	4.0	0.0	0.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
